Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
3213,360.0,1,not_weakest,money,3,100
3214,550.4,33,one_two_one,money,2,100
3215,450,55,random,defense,0,100
3216,50.0,0,copycat,money,16,100
3217,0.0,0,copycat,money,18,100
3218,396.0,53,random,money,1,100
3219,493.0,49,random,defense,1,100
3220,550.4,33,one_two_one,money,2,100
3221,550.4,33,one_two_one,money,2,100
3222,390.0,1,not_weakest,money,3,100
3223,420.0,33,one_two_one,money,2,100
3224,10.0,99,be_strongest,defense,1,100
3225,190.0,33,one_two_one,money,3,100
3226,360.0,1,not_weakest,money,3,100
3227,65.0,87,analyst,defense,1,100
3228,250.0,33,one_two_one,money,3,100
3229,328.1,67,two_one_two,defense,2,100
3230,65.0,87,analyst,defense,1,100
3231,360.0,1,not_weakest,money,3,100
3232,65.0,87,analyst,defense,2,100
3233,30.0,95,late_planner,defense,1,100
3234,10.0,99,be_strongest,defense,1,100
3235,35.0,95,late_planner,defense,1,100
3236,330.0,67,two_one_two,defense,1,100
3237,330,67,two_one_two,defense,0,100
3238,65.0,87,analyst,defense,1,100
3239,550.4,33,one_two_one,money,2,100
3240,550.4,33,one_two_one,money,2,100
3241,530.0,47,random,defense,1,100
3242,66.0,89,analyst,defense,2,100
3243,330,67,two_one_two,defense,0,100
3244,10,99,be_strongest,defense,0,100
3245,65.0,87,analyst,defense,1,100
3246,50.0,0,copycat,money,16,100
3247,45.5,87,analyst,defense,2,100
3248,10,99,be_strongest,defense,0,100
3249,90.0,1,not_weakest,money,4,100
3250,330,67,two_one_two,defense,0,100
3251,35.0,95,late_planner,defense,3,100
3252,65.0,87,analyst,defense,1,100
3253,30.0,95,late_planner,defense,2,100
3254,10.0,99,be_strongest,defense,1,100
3255,10.0,99,be_strongest,defense,1,100
3256,586.0,33,one_two_one,money,1,100
3257,475.6,48,random,defense,2,100
3258,330.0,67,two_one_two,defense,1,100
3259,510,49,random,money,0,100
3260,10,99,be_strongest,defense,0,100
3261,550.4,33,one_two_one,money,2,100
3262,550.4,33,one_two_one,money,2,100
3263,550.4,33,one_two_one,money,2,100
3264,35.0,95,late_planner,defense,2,100
3265,329.0,67,two_one_two,defense,1,100
3266,10.0,99,be_strongest,defense,2,100
3267,65.0,87,analyst,defense,1,100
3268,390.0,61,random,money,1,100
3269,330,67,two_one_two,defense,0,100
3270,522.64,33,one_two_one,money,3,100
3271,35.0,95,late_planner,defense,1,100
3272,510,49,random,defense,0,100
3273,242.12,33,one_two_one,money,3,100
3274,65.0,87,analyst,defense,1,100
3275,10,99,be_strongest,defense,0,100
3276,50.0,0,copycat,money,16,100
3277,333.0,46,random,defense,3,100
3278,240.0,1,not_weakest,money,4,100
3279,190.0,1,not_weakest,money,4,100
3280,330.0,67,two_one_two,defense,1,100
3281,10.0,99,be_strongest,defense,3,100
3282,330.0,67,two_one_two,defense,1,100
3283,360.0,1,not_weakest,money,3,100
3284,65.0,87,analyst,defense,2,100
3285,50.0,0,copycat,money,17,100
3286,230.0,1,not_weakest,money,4,100
3287,360.0,1,not_weakest,money,3,100
3288,10.0,99,be_strongest,defense,1,100
3289,360.0,1,not_weakest,money,3,100
3290,65.0,87,analyst,defense,1,100
3291,360.0,1,not_weakest,money,3,100
3292,330,67,two_one_two,defense,0,100
3293,550.4,33,one_two_one,money,2,100
3294,30.0,0,copycat,money,17,100
3295,50.0,0,copycat,money,16,100
3296,350.0,1,not_weakest,money,4,100
3297,360.0,1,not_weakest,money,3,100
3298,35.0,95,late_planner,defense,1,100
3299,550.4,33,one_two_one,money,2,100
3300,50.0,0,copycat,money,16,100
3301,474.2,40,random,money,2,100
3302,30.0,0,copycat,money,17,100
3303,65.0,87,analyst,defense,3,100
3304,30.0,0,copycat,money,17,100
3305,450.0,55,random,money,1,100
3306,50.0,0,copycat,money,16,100
3307,550.4,33,one_two_one,money,2,100
3308,50.0,0,copycat,money,17,100
3309,65.0,87,analyst,defense,1,100
